text,occurrence_count
lung cancer,26.0
agricultural machinery,26.0
three shifts,26.0
fewer people,26.0
temporary internet blackout,26.0
second floor,26.0
transgender people,26.0
cement industry,26.0
certain foods,26.0
human blood,26.0
open organisation,26.0
past administrations,26.0
online shopping,26.0
donor funding,26.0
escaped pet lion,26.0
armed robberies,26.0
wild celebrations,26.0
left flank,26.0
drug dosage,26.0
glaucoma,26.0
transportation fares,26.0
potential banana peel,26.0
unlicensed hotels,26.0
league log,26.0
songwriter,25.0
main entrance,25.0
premium gifts,25.0
late singer,25.0
old guy,25.0
interested participants,25.0
clean fuels,25.0
multiple sexual partners,25.0
previous regime,25.0
free refreshments,25.0
one location,25.0
light crude oil,25.0
opposition supporters,25.0
key doctor,25.0
folate,25.0
main city,25.0
musical chairs,25.0
winning penalty,25.0
anthrax,25.0
homebuyers,25.0
detailed analytical reports,25.0
prepared person,25.0
job creators,25.0
surplus food,25.0
better stage performer,25.0
key leader,25.0
one-week observance moves,25.0
personal scores,25.0
cement price cap,25.0
medical profession,25.0
animal feed,25.0
problem solvers,25.0
local police,24.0
poet,24.0
league leaders,24.0
university management,24.0
political scientist,24.0
official results,24.0
certain countries,24.0
latest public figure,24.0
war songs,24.0
said company,24.0
poultry feed,24.0
potential migrants,24.0
lucky listener,24.0
football enthusiasts,24.0
wider region,24.0
first-time offender,24.0
vanilla,24.0
pharma,24.0
bed bugs,24.0
berry,24.0
ultimate trophy,24.0
flash flooding,24.0
spinach,24.0
said vehicle,24.0
large portions,24.0
live bullets,24.0
graphite,24.0
informal settlements,24.0
leading technical teams,24.0
systems administrator,24.0
seasoned cloud architect,24.0
late actor,24.0
oratorical masterpiece,24.0
one expert,24.0
treasury market,24.0
unlicensed engineers,24.0
frontrunner,23.0
fellamakafui,23.0
various ministries,23.0
said land,23.0
apex bank,23.0
one lady,23.0
live rounds,23.0
local law enforcement,23.0
military club,23.0
interbank forex market,23.0
international sports events,23.0
immigration agents,23.0
largest opposition party,23.0
six-hour nationwide blackout,23.0
one constituency,23.0
ornaments,23.0
maxwell agbagba,23.0
nutritious meals,23.0
whole place,23.0
midwifery tutors,23.0
law enforcement officials,23.0
same-sex couples,23.0
washing machines,23.0
international stars,23.0
unsafe buildings,23.0
two main parties,23.0
water sector,23.0
dying embers,23.0
one trader,23.0
mining explosives,23.0
power thieves,23.0
downstream petroleum industry,23.0
telecommunications giant,23.0
foreign exchange receipts,23.0
shock waves,23.0
days market,22.0
billionaire,22.0
final product,22.0
local goods,22.0
right partner,22.0
epic concert,22.0
right one,22.0
knowledge-sharing forum,22.0
organic farming,22.0
international experts,22.0
unregistered drugs,22.0
radiotherapy,22.0
stews,22.0
cultural consultants,22.0
alleged acid attack,22.0
next two days,22.0
third consecutive time,22.0
job interview,22.0
child soldiers,22.0
dancehall music,22.0
three gold medals,22.0
zonal semis,22.0
water polo,22.0
significant player,22.0
certain places,22.0
lucky housewife,22.0
large areas,22.0
one set,22.0
itel,22.0
multiple women,22.0
courtroom memes,22.0
acacia,22.0
small groups,22.0
domestic football leagues,22.0
closest rival,22.0
deepfakes,22.0
cocoa butter,22.0
lutein,22.0
credible sources,22.0
multiple industries,22.0
care homes,22.0
peppers,21.0
key tool,21.0
pure water,21.0
eight victims,21.0
major foreign currencies,21.0
best student,21.0
private sector stakeholders,21.0
environmental activists,21.0
media sector,21.0
nitrogen,21.0
digital satellite channels,21.0
right materials,21.0
different communities,21.0
full-time whistle,21.0
rural electrification,21.0
better roads,21.0
good ambassadors,21.0
agro-processing equipment,21.0
service outlets,21.0
market days,21.0
different stakeholders,21.0
international tourists,21.0
detained nursing mothers,21.0
plain clothes,21.0
international audiences,21.0
street lighting,21.0
last two days,21.0
visa rules,21.0
first two sets,21.0
new lifelines,21.0
sonic memoir,21.0
churchgoers,21.0
amazing athlete,21.0
two landed properties,21.0
biggest clubs,21.0
corporate bonds,21.0
environmental advocates,21.0
cranny,21.0
global stages,21.0
four new bonds,21.0
especially young people,21.0
proud member,21.0
official sources,21.0
cultural displays,21.0
event centres,21.0
unused substitute,21.0
lunar surface,21.0
atherosclerosis,21.0
telecommunication services,20.0
new fire,20.0
music producer,20.0
comedy-savvy pundits,20.0
mineral water,20.0
flag football,20.0
bronchitis,20.0
quizzes,20.0
unknown location,20.0
dog bites,20.0
right infrastructure,20.0
policy debates,20.0
one school,20.0
six-yard box,20.0
head injuries,20.0
seasoned professional,20.0
cement sales,20.0
www,20.0
investment app,20.0
red meat,20.0
spot gold,20.0
civil society representatives,20.0
search giant,20.0
mature working professional,20.0
municipal bonds,20.0
commercial loans,20.0
mansa musa,20.0
high-profile political leaders,20.0
rural regions,20.0
mineral extraction,20.0
staunch advocate,20.0
garri,20.0
business-class tickets,20.0
iron deficiency,20.0
hydroxyurea,20.0
probing talk show,20.0
wrong baby,20.0
affordable smartphones,20.0
alumina,20.0
junk food,20.0
sugarcane juice,20.0
one community,20.0
current constitution,20.0
fact-checkers,20.0
salmonella,20.0
prison bus,20.0
best actor,20.0
speed race,20.0
brim,20.0
housing facility,20.0
media workers,20.0
liquid soaps,20.0
magnesium supplementation,20.0
jet fuel,20.0
general populace,19.0
police leadership,19.0
creative arts industry,19.0
police team,19.0
back seat,19.0
honourable court,19.0
market leader,19.0
professional services firm,19.0
utility providers,19.0
ore,19.0
bus stop,19.0
different thing,19.0
foreign buyers,19.0
certain cancers,19.0
mixed volleyball,19.0
antiretroviral therapy,19.0
medical field,19.0
certain words,19.0
electric stun guns,19.0
vibrant hub,19.0
magnesium supplements,19.0
international stages,19.0
entire area,19.0
cyber attacks,19.0
public gallery,19.0
neonatal jaundice,19.0
diverse industries,19.0
playing surface,19.0
well-capitalised banks,19.0
world-class institution,19.0
rainy day,19.0
three representative offices,19.0
two nursing mothers,19.0
water treatment,19.0
community organizations,19.0
high-speed internet,19.0
one generation,19.0
hawker,19.0
fresh produce,19.0
equator,19.0
ulcers,19.0
case investigator,19.0
different country,19.0
outdated infrastructure,19.0
private sector partnerships,19.0
local journalists,19.0
geographical boundaries,19.0
drug traffickers,19.0
southern state,19.0
technology firms,19.0
multiple platforms,19.0
firm believer,19.0
real estate investments,19.0
one dam,19.0
national secretary,19.0
one protester,19.0
uterine fibroids,19.0
traditionalists,19.0
crisis meeting,19.0
two break points,19.0
undisclosed location,19.0
private sector representatives,19.0
wide audience,19.0
main tournament,19.0
telecom sector,19.0
largest sector,19.0
front foot,19.0
blood products,19.0
two excavators,19.0
bustling streets,19.0
commercial flight,18.0
pavements,18.0
south-west,18.0
younger audiences,18.0
major stakeholder,18.0
valid license,18.0
elikem kumordzie,18.0
rural banking sector,18.0
forested mountainside,18.0
best bank,18.0
public lectures,18.0
open sea,18.0
nail-biting tie-breaker,18.0
underage girls,18.0
national service person,18.0
one project,18.0
multiple channels,18.0
real-time updates,18.0
first mpox test,18.0
best films,18.0
low-income families,18.0
runners-up,18.0
local organisations,18.0
separate interview,18.0
arrival hall,18.0
truly wonderful father,18.0
first complainant,18.0
fatal accidents,18.0
poultry farming,18.0
estate development,18.0
business trip,18.0
anti-galamsey unit,18.0
huge crowds,18.0
lottery industry,18.0
local suppliers,18.0
match days,18.0
fertile grounds,18.0
change agents,18.0
short statement,18.0
human brain,18.0
separate accidents,18.0
locally manufactured pistol,18.0
familiar face,18.0
nationwide tracking system,18.0
permanent residents,18.0
incumbent governments,18.0
the-spot,18.0
eight counts,18.0
organizing committee,18.0
key health projects,18.0
better infrastructure,18.0
court registry,18.0
cocoa processing,18.0
vaping,18.0
car rentals,18.0
transportation networks,18.0
mostly civilians,18.0
wrongful jail,18.0
foreign illegal miners,18.0
general goods,18.0
visualisers,18.0
duplicate docket,17.0
sea defence project,17.0
cholera outbreak,17.0
north-west,17.0
voice calls,17.0
healthy diets,17.0
vocal advocate,17.0
full scholarships,17.0
transformational leaders,17.0
strong supporter,17.0
contemporary art,17.0
courier services,17.0
electrical faults,17.0
newly sworn-in envoys,17.0
tin tomatoes,17.0
safer roads,17.0
responsible gaming brand,17.0
civilian infrastructure,17.0
deadly weapon,17.0
bated breath,17.0
